SYMBOL,OPEN,HIGH,LOW,CLOSE,PREVCLOSE,RSI
DABUR,423.0,425.45,416.9,419.25,422.0,22.22222222222227
DALMIASUG,95.15,98.7,94.55,95.6,95.05,79.8319327731092
DAMODARIND,44.3,46.5,44.3,45.0,44.3,35.820895522387914
DATAMATICS,113.2,114.0,111.2,111.85,112.05,67.595818815331
DBCORP,168.0,170.45,165.05,167.85,167.55,27.94117647058809
DBL,419.5,422.25,410.1,412.75,417.15,30.44692737430165
DBREALTY,31.45,31.6,30.05,30.65,31.35,64.70588235294113
DCAL,232.2,236.3,230.2,235.7,231.9,52.45901639344261
DCBBANK,168.4,175.35,166.7,173.8,168.45,91.0614525139664
DCM,72.05,74.45,72.05,73.85,73.1,39.08045977011481
DCMSHRIRAM,344.0,352.85,343.05,347.6,344.15,92.03980099502482
DCW,18.15,18.35,18.0,18.05,18.1,0.0
DECCANCE,389.95,400.0,389.0,397.95,389.85,40.75342465753421
DEEPAKFERT,142.55,144.5,141.15,143.25,142.25,0.0
DEEPAKNTR,220.4,222.85,218.65,220.9,219.0,64.72727272727278
DEEPIND,123.05,124.5,120.35,123.2,123.65,0.0
DELTACORP,249.65,260.65,245.65,259.05,248.6,69.81132075471697
DELTAMAGNT,78.0,78.25,78.0,78.0,78.4,0.0
DEN,70.1,70.55,70.0,70.35,70.1,0.0
DENABANK,14.25,14.65,14.2,14.3,14.4,0.0
DENORA,255.5,261.7,255.5,259.65,254.85,62.57142857142861
DEVIT,74.75,74.9,74.75,74.75,75.1,0.0
DFMFOODS,205.7,206.0,194.0,202.5,205.35,37.8151260504203
DHAMPURSUG,168.0,173.8,167.15,169.65,168.4,92.54901960784301
DHANBANK,16.7,16.9,16.3,16.55,16.65,0.0
DHANUKA,434.95,434.95,422.3,428.6,433.3,6.589147286821742
DHARSUGAR,11.6,12.1,11.55,11.85,11.6,0.0
DHFL,235.2,239.3,230.35,238.05,235.65,45.43650793650797
DHFL,850.0,976.5,850.0,976.5,1000.0,45.43650793650797
DHFL,990.0,990.0,981.0,989.88,994.0,45.43650793650797
DHFL,920.05,924.85,920.0,924.85,920.0,45.43650793650797
DHFL,950.0,951.0,950.0,950.5,960.0,45.43650793650797
DHFL,920.0,933.0,917.0,925.0,920.16,45.43650793650797
DHFL,1211.0,1211.0,1211.0,1211.0,1211.0,45.43650793650797
DHFL,1190.0,1190.0,1190.0,1190.0,1162.25,45.43650793650797
DHFL,850.0,1010.0,850.0,990.0,1010.0,45.43650793650797
DHFL,992.5,992.5,992.5,992.5,992.5,45.43650793650797
DHFL,929.0,929.0,911.0,912.0,931.0,45.43650793650797
DHFL,925.0,930.0,925.0,929.61,925.35,45.43650793650797
DHFL,974.45,974.45,974.45,974.45,978.99,45.43650793650797
DHFL,929.97,930.0,929.97,930.0,910.15,45.43650793650797
DHFL,900.1,905.0,900.1,904.99,909.0,45.43650793650797
DHFL,942.0,942.0,942.0,942.0,906.8,45.43650793650797
DHUNINV,255.05,255.05,255.05,255.05,260.0,53.78151260504217
DIAMONDYD,1026.6,1049.7,1021.0,1044.8,1030.05,69.62719298245594
DIAPOWER,1.65,1.65,1.6,1.6,1.65,0.0
DICIND,376.6,381.7,372.15,376.65,377.6,33.53846153846159
DIGJAMLTD,4.55,4.65,4.45,4.6,4.5,0.0
DISHTV,37.75,40.55,37.55,39.55,37.95,58.181818181817974
DIVISLAB,1437.9,1471.2,1428.25,1460.5,1437.9,45.95410628019321
